id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa
383,touch,English (American),WS,word,action_words,predicates,verbs,touch,66700800,772
384,meat,English (American),WS,word,food_drink,nouns,nouns,meat,66873600,774
385,party,English (American),WS,word,places,other,other,party,66873600,774
386,bump,English (American),WS,word,action_words,predicates,verbs,bump,66873600,774
387,have,English (American),WS,word,action_words,predicates,verbs,have,66873600,774
388,too,English (American),WS,word,quantifiers,function_words,function_words,too,66873600,774
389,pretzel,English (American),WS,word,food_drink,nouns,nouns,pretzel,66960000,775
390,talk,English (American),WS,word,action_words,predicates,verbs,talk,66960000,775
391,don't,English (American),WS,word,helping_verbs,function_words,function_words,don't,66960000,775
392,bucket,English (American),WS,word,household,nouns,nouns,bucket,67046400,776
393,dry (description),English (American),WS,word,descriptive_words,predicates,adjectives,dry (description),67046400,776
394,wind,English (American),WS,word,outside,nouns,nouns,wind,67132800,777
395,uncle,English (American),WS,word,people,other,other,uncle,67132800,777
396,awake,English (American),WS,word,descriptive_words,predicates,adjectives,awake,67132800,777
397,black,English (American),WS,word,descriptive_words,predicates,adjectives,black,67132800,777
398,belt,English (American),WS,word,clothing,nouns,nouns,belt,67219200,778
399,closet,English (American),WS,word,furniture_rooms,nouns,nouns,closet,67219200,778
400,game,English (American),WS,word,toys,nouns,nouns,game,67305600,779
401,tape,English (American),WS,word,household,nouns,nouns,tape,67305600,779
402,pull,English (American),WS,word,action_words,predicates,verbs,pull,67305600,779
403,careful,English (American),WS,word,descriptive_words,predicates,adjectives,careful,67305600,779
404,soft,English (American),WS,word,descriptive_words,predicates,adjectives,soft,67305600,779
405,it,English (American),WS,word,pronouns,function_words,function_words,it,67305600,779
406,pickle,English (American),WS,word,food_drink,nouns,nouns,pickle,67392000,780
407,muffin,English (American),WS,word,food_drink,nouns,nouns,muffin,67478400,781
408,turn around,English (American),WS,word,games_routines,other,other,turn around,67478400,781
409,paint,English (American),WS,word,action_words,predicates,verbs,paint (action),67564800,782
410,back,English (American),WS,word,locations,function_words,function_words,back (location),67564800,782
411,some,English (American),WS,word,quantifiers,function_words,function_words,some,67564800,782
412,garbage,English (American),WS,word,household,nouns,nouns,garbage,67651200,783
413,sticky,English (American),WS,word,descriptive_words,predicates,adjectives,sticky,67651200,783
414,stand,English (American),WS,word,action_words,predicates,verbs,stand,67737600,784
415,wait,English (American),WS,word,action_words,predicates,verbs,wait,67737600,784
416,stove,English (American),WS,word,furniture_rooms,nouns,nouns,stove,67824000,785
417,soda/pop,English (American),WS,word,food_drink,nouns,nouns,soda,67910400,786
418,flag,English (American),WS,word,outside,nouns,nouns,flag,67910400,786
419,sad,English (American),WS,word,descriptive_words,predicates,adjectives,sad,67910400,786
420,dry (action),English (American),WS,word,action_words,predicates,verbs,dry (action),67996800,787
421,share,English (American),WS,word,action_words,predicates,verbs,share,67996800,787
422,stay,English (American),WS,word,action_words,predicates,verbs,stay,67996800,787
423,sweep,English (American),WS,word,action_words,predicates,verbs,sweep,67996800,787
424,deer,English (American),WS,word,animals,nouns,nouns,deer,68083200,788
425,cut,English (American),WS,word,action_words,predicates,verbs,cut,68083200,788
426,loud,English (American),WS,word,descriptive_words,predicates,adjectives,loud,68083200,788
427,lemme/let me,English (American),WS,word,helping_verbs,function_words,function_words,lemme,68083200,788
428,jelly,English (American),WS,word,food_drink,nouns,nouns,jelly,68169600,789
429,high,English (American),WS,word,descriptive_words,predicates,adjectives,high,68169600,789
430,spill,English (American),WS,word,action_words,predicates,verbs,spill,68256000,790
431,scared,English (American),WS,word,descriptive_words,predicates,adjectives,scared,68256000,790
432,sick,English (American),WS,word,descriptive_words,predicates,adjectives,sick,68256000,790
433,donut,English (American),WS,word,food_drink,nouns,nouns,donut,68342400,791
434,empty,English (American),WS,word,descriptive_words,predicates,adjectives,empty,68342400,791
435,all,English (American),WS,word,quantifiers,function_words,function_words,all,68342400,791
436,plant,English (American),WS,word,household,nouns,nouns,plant,68428800,792
437,garage,English (American),WS,word,furniture_rooms,nouns,nouns,garage,68428800,792
438,rocking chair,English (American),WS,word,furniture_rooms,nouns,nouns,rocking chair,68515200,793
439,make,English (American),WS,word,action_words,predicates,verbs,make,68515200,793
440,turkey,English (American),WS,word,animals,nouns,nouns,turkey,68601600,794
441,slipper,English (American),WS,word,clothing,nouns,nouns,slipper,68688000,795
442,so big!,English (American),WS,word,games_routines,other,other,so big,68688000,795
443,this little piggy,English (American),WS,word,games_routines,other,other,this little piggy,68688000,795
444,feed,English (American),WS,word,action_words,predicates,verbs,feed,68688000,795
445,quiet,English (American),WS,word,descriptive_words,predicates,adjectives,quiet,68688000,795
446,wake,English (American),WS,word,action_words,predicates,verbs,wake,68774400,796
447,penny,English (American),WS,word,household,nouns,nouns,penny,68860800,797
448,beach,English (American),WS,word,places,other,other,beach,68860800,797
449,friend,English (American),WS,word,people,other,other,friend,68860800,797
450,under,English (American),WS,word,locations,function_words,function_words,under,68860800,797
451,oven,English (American),WS,word,furniture_rooms,nouns,nouns,oven,68947200,798
452,bring,English (American),WS,word,action_words,predicates,verbs,bring,68947200,798
453,hear,English (American),WS,word,action_words,predicates,verbs,hear,68947200,798
454,put,English (American),WS,word,action_words,predicates,verbs,put,68947200,798
455,smile,English (American),WS,word,action_words,predicates,verbs,smile,69033600,799
456,take,English (American),WS,word,action_words,predicates,verbs,take,69033600,799
457,morning,English (American),WS,word,time_words,other,other,morning,69033600,799
458,penguin,English (American),WS,word,animals,nouns,nouns,penguin,69120000,800
459,white,English (American),WS,word,descriptive_words,predicates,adjectives,white,69120000,800
460,play dough,English (American),WS,word,toys,nouns,nouns,play dough,69206400,801
461,backyard,English (American),WS,word,outside,nouns,nouns,yard,69292800,802
462,brown,English (American),WS,word,descriptive_words,predicates,adjectives,brown,69292800,802
463,lawn mower,English (American),WS,word,outside,nouns,nouns,lawn mower,69379200,803
464,lamb,English (American),WS,word,animals,nouns,nouns,lamb,69465600,804
465,penis (child's word),English (American),WS,word,body_parts,nouns,nouns,penis,69465600,804
466,write,English (American),WS,word,action_words,predicates,verbs,write,69465600,804
467,gum,English (American),WS,word,food_drink,nouns,nouns,gum,69552000,805
468,full,English (American),WS,word,descriptive_words,predicates,adjectives,full,69552000,805
469,dish,English (American),WS,word,household,nouns,nouns,dish,69638400,806
470,movie,English (American),WS,word,places,other,other,movie,69638400,806
471,better,English (American),WS,word,descriptive_words,predicates,adjectives,better,69638400,806
472,people,English (American),WS,word,people,other,other,people,69724800,807
473,away,English (American),WS,word,locations,function_words,function_words,away,69724800,807
474,hose,English (American),WS,word,outside,nouns,nouns,hose,69897600,809
475,church (child's word),English (American),WS,word,places,other,other,church,69897600,809
476,clown,English (American),WS,word,people,other,other,clown,69897600,809
477,build,English (American),WS,word,action_words,predicates,verbs,build,69897600,809
478,say,English (American),WS,word,action_words,predicates,verbs,say,69897600,809
479,washing machine,English (American),WS,word,furniture_rooms,nouns,nouns,washing machine,69984000,810
480,show,English (American),WS,word,action_words,predicates,verbs,show,69984000,810
481,chalk,English (American),WS,word,toys,nouns,nouns,chalk,70070400,811
482,a,English (American),WS,word,quantifiers,function_words,function_words,a,70070400,811
483,ladder,English (American),WS,word,outside,nouns,nouns,ladder,70156800,812
484,snowman,English (American),WS,word,outside,nouns,nouns,snowman,70156800,812
485,hurry,English (American),WS,word,action_words,predicates,verbs,hurry,70156800,812
486,cute,English (American),WS,word,descriptive_words,predicates,adjectives,cute,70156800,812
487,over,English (American),WS,word,locations,function_words,function_words,over,70156800,812
488,gloves,English (American),WS,word,clothing,nouns,nouns,gloves,70243200,813
489,radio,English (American),WS,word,household,nouns,nouns,radio,70243200,813
490,brother,English (American),WS,word,people,other,other,brother,70243200,813
491,windy,English (American),WS,word,descriptive_words,predicates,adjectives,windy,70243200,813
492,and,English (American),WS,word,connecting_words,function_words,function_words,and,70243200,813
493,nuts,English (American),WS,word,food_drink,nouns,nouns,nuts,70329600,814
494,vitamins,English (American),WS,word,food_drink,nouns,nouns,vitamins,70329600,814
495,shoulder,English (American),WS,word,body_parts,nouns,nouns,shoulder,70329600,814
496,sandbox,English (American),WS,word,outside,nouns,nouns,sandbox,70329600,814
497,sister,English (American),WS,word,people,other,other,sister,70329600,814
498,shake,English (American),WS,word,action_words,predicates,verbs,shake,70329600,814
499,lollipop,English (American),WS,word,food_drink,nouns,nouns,lollipop,70416000,815
500,can (object),English (American),WS,word,household,nouns,nouns,can (object),70416000,815
501,goose,English (American),WS,word,animals,nouns,nouns,goose,70502400,816
502,drawer,English (American),WS,word,furniture_rooms,nouns,nouns,drawer,70502400,816
503,buy,English (American),WS,word,action_words,predicates,verbs,buy,70502400,816
504,living room,English (American),WS,word,furniture_rooms,nouns,nouns,living room,70675200,818
505,lick,English (American),WS,word,action_words,predicates,verbs,lick,70675200,818
506,can (auxiliary),English (American),WS,word,helping_verbs,function_words,function_words,can (auxiliary),70761600,819
507,yard,English (American),WS,word,places,other,other,yard,70848000,820
508,green beans,English (American),WS,word,food_drink,nouns,nouns,green beans,70934400,821
509,sidewalk,English (American),WS,word,outside,nouns,nouns,sidewalk,70934400,821
510,the,English (American),WS,word,quantifiers,function_words,function_words,the,71020800,822
511,underpants,English (American),WS,word,clothing,nouns,nouns,underpants,71107200,823
512,to,English (American),WS,word,locations,function_words,function_words,to,71107200,823
513,gonna/going to,English (American),WS,word,helping_verbs,function_words,function_words,gonna,71107200,823
514,jeans,English (American),WS,word,clothing,nouns,nouns,jeans,71193600,824
515,later,English (American),WS,word,time_words,other,other,later,71193600,824
516,hard,English (American),WS,word,descriptive_words,predicates,adjectives,hard,71280000,825
517,not,English (American),WS,word,quantifiers,function_words,function_words,not,71280000,825
518,playground,English (American),WS,word,places,other,other,playground,71366400,826
519,rooster,English (American),WS,word,animals,nouns,nouns,rooster,71539200,828
520,mittens,English (American),WS,word,clothing,nouns,nouns,mittens,71712000,830
521,lamp,English (American),WS,word,household,nouns,nouns,lamp,71712000,830
522,fireman,English (American),WS,word,people,other,other,firefighter,71712000,830
523,lady,English (American),WS,word,people,other,other,lady,71712000,830
524,cover,English (American),WS,word,action_words,predicates,verbs,cover (action),71712000,830
525,why,English (American),WS,word,question_words,function_words,function_words,why,71712000,830
526,with,English (American),WS,word,locations,function_words,function_words,with,71712000,830
527,dryer,English (American),WS,word,furniture_rooms,nouns,nouns,dryer,71798400,831
528,pour,English (American),WS,word,action_words,predicates,verbs,pour,71798400,831
529,taste,English (American),WS,word,action_words,predicates,verbs,taste,71798400,831
530,sauce,English (American),WS,word,food_drink,nouns,nouns,sauce,71884800,832
531,listen,English (American),WS,word,action_words,predicates,verbs,listen,71884800,832
532,pony,English (American),WS,word,animals,nouns,nouns,pony,72057600,834
533,farm,English (American),WS,word,places,other,other,farm,72057600,834
534,chase,English (American),WS,word,action_words,predicates,verbs,chase,72144000,835
535,new,English (American),WS,word,descriptive_words,predicates,adjectives,new,72144000,835
536,he,English (American),WS,word,pronouns,function_words,function_words,he,72144000,835
537,need/need to,English (American),WS,word,helping_verbs,function_words,function_words,need,72144000,835
538,jello,English (American),WS,word,food_drink,nouns,nouns,jello,72230400,836
539,melon,English (American),WS,word,food_drink,nouns,nouns,melon,72230400,836
540,nail,English (American),WS,word,household,nouns,nouns,nail (object),72230400,836
541,finish,English (American),WS,word,action_words,predicates,verbs,finish,72230400,836
542,mad,English (American),WS,word,descriptive_words,predicates,adjectives,mad,72316800,837
543,who,English (American),WS,word,question_words,function_words,function_words,who,72316800,837
544,did/did ya,English (American),WS,word,helping_verbs,function_words,function_words,did,72316800,837
545,pick,English (American),WS,word,action_words,predicates,verbs,pick,72403200,838
546,is,English (American),WS,word,helping_verbs,function_words,function_words,is,72489600,839
547,gentle,English (American),WS,word,descriptive_words,predicates,adjectives,gentle,72662400,841
548,another,English (American),WS,word,quantifiers,function_words,function_words,another,72662400,841
549,noisy,English (American),WS,word,descriptive_words,predicates,adjectives,noisy,72748800,842
550,teacher,English (American),WS,word,people,other,other,teacher,72835200,843
551,first,English (American),WS,word,descriptive_words,predicates,adjectives,first,72835200,843
552,salt,English (American),WS,word,food_drink,nouns,nouns,salt,73008000,845
553,try/try to,English (American),WS,word,helping_verbs,function_words,function_words,try,73094400,846
554,gas station,English (American),WS,word,places,other,other,gas station,73267200,848
555,at,English (American),WS,word,locations,function_words,function_words,at,73267200,848
556,donkey,English (American),WS,word,animals,nouns,nouns,donkey,73353600,849
557,mailman,English (American),WS,word,people,other,other,mailman,73353600,849
558,day,English (American),WS,word,time_words,other,other,day,73353600,849
559,wolf,English (American),WS,word,animals,nouns,nouns,wolf,73440000,850
560,picnic,English (American),WS,word,places,other,other,picnic,73526400,851
561,police,English (American),WS,word,people,other,other,police,73526400,851
562,coke,English (American),WS,word,food_drink,nouns,nouns,coke,73699200,853
563,fit,English (American),WS,word,action_words,predicates,verbs,fit,73699200,853
564,for,English (American),WS,word,locations,function_words,function_words,for,73699200,853
565,slow,English (American),WS,word,descriptive_words,predicates,adjectives,slow,73785600,854
566,pudding,English (American),WS,word,food_drink,nouns,nouns,pudding,73958400,856
567,jar,English (American),WS,word,household,nouns,nouns,jar,74044800,857
568,garden,English (American),WS,word,outside,nouns,nouns,garden,74044800,857
569,roof,English (American),WS,word,outside,nouns,nouns,roof,74217600,859
570,other,English (American),WS,word,quantifiers,function_words,function_words,other,74217600,859
571,on top of,English (American),WS,word,locations,function_words,function_words,on top of,74390400,861
572,sprinkler,English (American),WS,word,outside,nouns,nouns,sprinkler,74476800,862
573,your,English (American),WS,word,pronouns,function_words,function_words,your,74476800,862
574,today,English (American),WS,word,time_words,other,other,today,74563200,863
575,she,English (American),WS,word,pronouns,function_words,function_words,she,74563200,863
576,a lot,English (American),WS,word,quantifiers,function_words,function_words,a lot,74563200,863
577,tricycle,English (American),WS,word,vehicles,nouns,nouns,tricycle,74649600,864
578,tomorrow,English (American),WS,word,time_words,other,other,tomorrow,74649600,864
579,these,English (American),WS,word,pronouns,function_words,function_words,these,74649600,864
580,behind,English (American),WS,word,locations,function_words,function_words,behind,74649600,864
581,by,English (American),WS,word,locations,function_words,function_words,by,74736000,865
582,glue,English (American),WS,word,toys,nouns,nouns,glue,74822400,866
583,am,English (American),WS,word,helping_verbs,function_words,function_words,am,74822400,866
584,mop,English (American),WS,word,household,nouns,nouns,mop,74995200,868
585,hafta/have to,English (American),WS,word,helping_verbs,function_words,function_words,hafta,75254400,871
586,old,English (American),WS,word,descriptive_words,predicates,adjectives,old,75340800,872
587,moose,English (American),WS,word,animals,nouns,nouns,moose,75600000,875
588,after,English (American),WS,word,time_words,other,other,after,75600000,875
589,beads,English (American),WS,word,clothing,nouns,nouns,beads,75859200,878
590,her,English (American),WS,word,pronouns,function_words,function_words,her,75859200,878
591,dump,English (American),WS,word,action_words,predicates,verbs,dump,76032000,880
592,are,English (American),WS,word,helping_verbs,function_words,function_words,are,76032000,880
593,long,English (American),WS,word,descriptive_words,predicates,adjectives,long,76118400,881
594,tear,English (American),WS,word,action_words,predicates,verbs,tear,76204800,882
595,any,English (American),WS,word,quantifiers,function_words,function_words,any,76204800,882
596,ankle,English (American),WS,word,body_parts,nouns,nouns,ankle,76464000,885
597,around,English (American),WS,word,locations,function_words,function_words,around,76464000,885
598,sneaker,English (American),WS,word,clothing,nouns,nouns,sneaker,76636800,887
599,him,English (American),WS,word,pronouns,function_words,function_words,him,76636800,887
600,we,English (American),WS,word,pronouns,function_words,function_words,we,76636800,887
601,how,English (American),WS,word,question_words,function_words,function_words,how,76809600,889
602,porch,English (American),WS,word,furniture_rooms,nouns,nouns,porch,76982400,891
603,hen,English (American),WS,word,animals,nouns,nouns,hen,77241600,894
604,pretend,English (American),WS,word,action_words,predicates,verbs,pretend,77328000,895
605,think,English (American),WS,word,action_words,predicates,verbs,think,77414400,896
606,sled,English (American),WS,word,vehicles,nouns,nouns,sled,77500800,897
607,those,English (American),WS,word,pronouns,function_words,function_words,those,77500800,897
608,his,English (American),WS,word,pronouns,function_words,function_words,his,77587200,898
609,fine,English (American),WS,word,descriptive_words,predicates,adjectives,fine,77846400,901
610,myself,English (American),WS,word,pronouns,function_words,function_words,myself,77846400,901
611,skate,English (American),WS,word,action_words,predicates,verbs,skate,77932800,902
612,tiny,English (American),WS,word,descriptive_words,predicates,adjectives,tiny,77932800,902
613,because,English (American),WS,word,connecting_words,function_words,function_words,because,78019200,903
614,tuna,English (American),WS,word,food_drink,nouns,nouns,tuna,78105600,904
615,cowboy,English (American),WS,word,people,other,other,cowboy,78105600,904
616,sofa,English (American),WS,word,furniture_rooms,nouns,nouns,sofa,78192000,905
617,will,English (American),WS,word,helping_verbs,function_words,function_words,will,78278400,906
618,bench,English (American),WS,word,furniture_rooms,nouns,nouns,bench,78364800,907
619,be,English (American),WS,word,helping_verbs,function_words,function_words,be,78451200,908
620,rip,English (American),WS,word,action_words,predicates,verbs,rip,78537600,909
621,stone,English (American),WS,word,outside,nouns,nouns,stone,78624000,910
622,tonight,English (American),WS,word,time_words,other,other,tonight,78710400,911
623,they,English (American),WS,word,pronouns,function_words,function_words,they,78796800,912
624,gotta/got to,English (American),WS,word,helping_verbs,function_words,function_words,gotta,78796800,912
625,time,English (American),WS,word,time_words,other,other,time,78883200,913
626,next to,English (American),WS,word,locations,function_words,function_words,next to,78883200,913
627,same,English (American),WS,word,quantifiers,function_words,function_words,same,78883200,913
628,circus,English (American),WS,word,places,other,other,circus,78969600,914
629,play pen,English (American),WG,word,furniture_rooms,nouns,nouns,play pen,78969600,914
630,babysitter,English (American),WG,word,people,other,other,babysitter,78969600,914
631,child,English (American),WG,word,people,other,other,child,78969600,914
632,person,English (American),WG,word,people,other,other,person,78969600,914
633,naughty,English (American),WG,word,descriptive_words,predicates,adjectives,naughty,78969600,914
634,when,English (American),WG,word,question_words,function_words,function_words,when (question),78969600,914
635,in,English (American),WG,word,locations,function_words,function_words,in,78969600,914
636,inside,English (American),WG,word,locations,function_words,function_words,inside,78969600,914
637,none,English (American),WG,word,quantifiers,function_words,function_words,none,78969600,914
