"age_in_days","p_art"
418,0.287199813755804
419,0.290734083876941
420,0.29425510878625
421,0.297762907955916
422,0.301257502449794
423,0.304738913728795
424,0.308207163254453
425,0.311662272488022
426,0.315104262889571
427,0.318533155917066
428,0.321948973025416
429,0.325351735136635
430,0.328741461062781
431,0.33211816911058
432,0.335481877612344
433,0.338832604925284
434,0.342170369430819
435,0.345495189932904
436,0.348807086847793
437,0.352106080994602
438,0.355392193193642
439,0.358665444265448
440,0.361925855029746
441,0.36517344630443
442,0.368408238904523
443,0.371630253641122
444,0.374839511320336
445,0.378036032742183
446,0.381219838834265
447,0.38439095105322
448,0.387549390976392
449,0.390695180562394
450,0.393828343335335
451,0.396948903183402
452,0.400056883959106
453,0.403152309477755
454,0.406235203515909
455,0.409305589809821
456,0.412363491773707
457,0.415408931661279
458,0.41844193141096
459,0.421462512925434
460,0.424470698070165
461,0.427466508671883
462,0.430449966517054
463,0.433421093350322
464,0.436379910872921
465,0.439326440741081
466,0.44226070482581
467,0.445182725993582
468,0.448092527316952
469,0.450990131810833
470,0.453875562430612
471,0.456748841958177
472,0.459609992664568
473,0.462459036645681
474,0.465295995981475
475,0.468120892880606
476,0.470933749531611
477,0.473734588051987
478,0.47652343048611
479,0.479300298803148
480,0.482065214894918
481,0.484818200573685
482,0.487559277569942
483,0.49028846753014
484,0.493005791706742
485,0.495711270032926
486,0.498404922042911
487,0.501086767177232
488,0.503756824780375
489,0.506415114019001
490,0.509061653641175
491,0.51169646221161
492,0.514319557913011
493,0.516930957715753
494,0.519530678199415
495,0.522118735825328
496,0.524695146933956
497,0.527259927742179
498,0.529813094340532
499,0.532354662413891
500,0.534884646437064
501,0.53740306087421
502,0.539909921222081
503,0.542405243124007
504,0.544889042081542
505,0.547361333149571
506,0.549822130024193
507,0.552271445937788
508,0.554709293956378
509,0.557135686976151
510,0.5595506377199
511,0.561954158733358
512,0.564346262113496
513,0.566726958696342
514,0.569096258848993
515,0.571454172598589
516,0.573800709186541
517,0.576135877347695
518,0.578459685551017
519,0.580772142032712
520,0.583073254791729
521,0.585363031307957
522,0.587641478109429
523,0.589908602826254
524,0.592164413248702
525,0.594408916914802
526,0.596642121105075
527,0.598864032837107
528,0.601074658859968
529,0.603274005648455
530,0.605462079182614
531,0.607638884292075
532,0.609804425283194
533,0.611958706145694
534,0.614101730546037
535,0.616233501820593
536,0.618354022926175
537,0.620463296304184
538,0.622561323998076
539,0.624648107420764
540,0.626723646537073
541,0.62878794064162
542,0.630840988615292
543,0.632882788718806
544,0.634913337983595
545,0.636932633000255
546,0.638940670760803
547,0.640937448014031
548,0.642922961041419
549,0.644897205646932
550,0.646860177146499
551,0.648811870357188
552,0.650752279475536
553,0.652681398207341
554,0.654599221277611
555,0.656505742257077
556,0.658400953488175
557,0.660284846635651
558,0.662157412779592
559,0.664018642194023
560,0.665868523700805
561,0.667707045263477
562,0.669534194177973
563,0.671349957057243
564,0.673154319815437
565,0.674947267651599
566,0.676728785032889
567,0.678498855677318
568,0.680257462554334
569,0.682004588007295
570,0.68374021370456
571,0.685464319637765
572,0.68717688470312
573,0.688877886913071
574,0.69056730337531
575,0.692245110271221
576,0.693911282833716
577,0.695565795324491
578,0.697208621010655
579,0.698839732140749
580,0.700459099920139
581,0.702066694422697
582,0.70366248495971
583,0.705246442027308
584,0.70681853562899
585,0.708378734418273
586,0.709927004909164
587,0.711463312174206
588,0.712987619811459
589,0.71449988911898
590,0.716000079692772
591,0.71748814954254
592,0.718964054501887
593,0.720427748757061
594,0.721879185004291
595,0.723318314397311
596,0.724745086455429
597,0.726159449083329
598,0.727561348397489
599,0.728950728266677
600,0.73032753114754
601,0.731691698776781
602,0.733043171378469
603,0.734381887391745
604,0.735707783228708
605,0.737020792603833
606,0.738320847106731
607,0.739607876463398
608,0.740881808770405
609,0.742142570212861
610,0.743390084952534
611,0.744624275104238
612,0.745845060489549
613,0.747052358027166
614,0.748246082850705
615,0.749426148855727
616,0.75059246832609
617,0.751744951695286
618,0.752883507353357
619,0.754008041521833
620,0.755118457985794
621,0.756214658398459
622,0.757296542485969
623,0.758364008313095
624,0.759416952146037
625,0.760455268316827
626,0.761478848866276
627,0.762487584080908
628,0.76348136277124
629,0.764460072191813
630,0.765423597498602
631,0.766371822718015
632,0.767304631350223
633,0.768221906127768
634,0.769123529949215
635,0.770009385990205
636,0.770879357824797
637,0.77173332941653
638,0.772571185846442
639,0.773392813509663
640,0.774198100852934
641,0.774986938291704
642,0.775759219746037
643,0.776514843705624
644,0.777253714088993
645,0.777975741131459
646,0.778680842248756
647,0.779368943290478
648,0.780039979746826
649,0.780693898024658
650,0.781330657319455
651,0.781950230710754
652,0.782552606378774
653,0.783137789708552
654,0.783705805778526
655,0.784256700557928
656,0.784790542491673
657,0.78530742414413
658,0.785807464446332
659,0.786290811197045
660,0.786757644327618
661,0.787208176544531
662,0.787642654791247
663,0.78806136249603
664,0.788464621471827
665,0.788852791984295
666,0.789226272921062
667,0.789585501333284
668,0.789930951888391
669,0.790263134791992
670,0.790582594628535
671,0.790889907447877
672,0.791185676270329
673,0.79147052515865
674,0.791745091651604
675,0.792010017339351
676,0.792265936346787
677,0.792513461554712
678,0.792753168229126
679,0.792985573985883
680,0.793211116569836
681,0.793430127671667
682,0.793738739520358
683,0.794142931745095
684,0.794449504733687
685,0.79465295087767
686,0.794851018884681
687,0.795149059156225
688,0.795339214985214
689,0.795525330190217
690,0.795707990872537
691,0.795887699421476
692,0.796175775288307
693,0.796463378527244
694,0.796637982699531
695,0.796811466688935
696,0.796984541964289
697,0.797157839206929
698,0.797331881880963
699,0.797507056231801
700,0.797683577687406
701,0.797971247654025
702,0.798150131491318
703,0.798331097407452
704,0.798621862145623
705,0.798806648020454
706,0.798994356554547
707,0.799185149547638
708,0.799378986663949
709,0.799779806121437
710,0.800181828912019
711,0.800379163017182
712,0.800579606407102
713,0.800783273997381
714,0.80118712610498
715,0.801591569182233
716,0.801799235140108
717,0.802010679890046
718,0.80222639209829
719,0.802446759047393
720,0.802672039058824
721,0.802902329211019
722,0.803222811450981
723,0.803460664946063
724,0.803703798681464
725,0.80395261495594
726,0.804207394299839
727,0.80461550031631
728,0.804876497400221
729,0.805143318367982
730,0.805415494797728
731,0.805823951925773
732,0.806166101390696
733,0.806445297411146
734,0.8067289251298
735,0.807016682874571
736,0.80730805162079
737,0.807602255339129
738,0.807898327709063
739,0.808250572736143
740,0.808658024722275
741,0.808955106150109
742,0.809252826458779
743,0.809551159045412
744,0.809903665838085
745,0.810309635706076
746,0.810715013368949
747,0.81106639681819
748,0.81136453783188
749,0.811662616489526
750,0.81196014672659
751,0.812256477379039
752,0.812605336645875
